date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:00	75298/75298	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202019%2002:21:01%20GMT	http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1.html	(from )
09:21:01	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2025%20Dec%202018%2005:18:02%20GMT	http://gull-html-laravel.ui-lib.com/robots.txt		(from )
09:21:05	2937/2937	---M--	200	added ('OK')	text/css	date:Sat,%2029%20Dec%202018%2005:35:24%20GMT	http://gull-html-laravel.ui-lib.com/assets/styles/vendor/perfect-scrollbar.css	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/assets/styles/vendor/perfect-scrollbar.css	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
09:21:08	585153/585153	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202019%2022:41:48%20GMT	http://gull-html-laravel.ui-lib.com/assets/styles/css/themes/lite-purple.min.css	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/assets/styles/css/themes/lite-purple.min.css	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
09:21:08	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202019%2002:21:08%20GMT	http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/accordion.html	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/large-sidebar/dashboard/accordion.html	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
09:21:09	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202019%2002:21:10%20GMT	http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/alerts.html	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/large-sidebar/dashboard/alerts.html	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
09:21:09	36871/36871	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Dec%202018%2005:35:24%20GMT	http://gull-html-laravel.ui-lib.com/assets/images/logo.png	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/assets/images/logo.png	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
09:21:10	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202019%2002:21:12%20GMT	http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/buttons.html	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/large-sidebar/dashboard/buttons.html	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
09:21:11	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202019%2002:21:12%20GMT	http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/badges.html	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/large-sidebar/dashboard/badges.html	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
09:21:12	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202019%2002:21:13%20GMT	http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/carousel.html	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/large-sidebar/dashboard/carousel.html	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
09:21:13	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202019%2002:21:14%20GMT	http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/lists.html	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/large-sidebar/dashboard/lists.html	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
09:21:14	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202019%2002:21:15%20GMT	http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/popover.html	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/large-sidebar/dashboard/popover.html	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
09:21:15	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202019%2002:21:16%20GMT	http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/tables.html	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/large-sidebar/dashboard/tables.html	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
09:21:16	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202019%2002:21:17%20GMT	http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/datatables.html	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/large-sidebar/dashboard/datatables.html	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
09:21:17	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202019%2002:21:18%20GMT	http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/modals.html	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/large-sidebar/dashboard/modals.html	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
09:21:18	1552/1552	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202019%2002:21:19%20GMT	http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/nouislider.html	C:/My%20Web%20Sites/abangmanis/gull-html-laravel.ui-lib.com/large-sidebar/dashboard/nouislider.html	(from http://gull-html-laravel.ui-lib.com/large-sidebar/dashboard/dashboard1)
